"Locality","cc","id","Taxon","MaxAge","MinAge","Rotated.Lat","Rotated.Lon","Area","genus"
"Eastern Cape","ZA",1310,"Cistecephalus",259.51,254.14,-63.1595,-14.725,1,"Cistecephalus"
"Eastern Cape","ZA",1309,"Cistecephalus",259.51,254.14,-63.1595,-14.725,1,"Cistecephalus"
"Eastern Cape","ZA",1308,"Diictodon",259.51,254.14,-63.1595,-14.725,1,"Diictodon"
"Eastern Cape","ZA",1307,"Diictodon",259.51,254.14,-63.1595,-14.725,1,"Diictodon"
"Eastern Cape","ZA",1306,"Cistecephaloides",259.51,254.14,-63.1595,-14.725,1,"Cistecephaloides"
"Western Cape","ZA",1254,"Robertia",264.28,259.51,-62.7516,-22.8072,1,"Robertia"
"Western Cape","ZA",1253,"Diictodon",264.28,259.51,-62.7516,-22.8072,1,"Diictodon"
"Western Cape","ZA",1252,"Emydops",264.28,259.51,-62.7516,-22.8072,1,"Emydops"
"Western Cape","ZA",1241,"Robertia",264.28,259.51,-62.7516,-22.8072,1,"Robertia"
"Western Cape","ZA",1240,"Robertia",264.28,259.51,-62.7516,-22.8072,1,"Robertia"
"Northern Cape","ZA",1239,"Robertia",264.28,259.51,-62.7516,-22.8072,1,"Robertia"
"Northern Cape","ZA",1238,"Emydops",264.28,259.51,-62.7516,-22.8072,1,"Emydops"
"Western Cape","ZA",1224,"Robertia",264.28,259.51,-62.7516,-22.8072,1,"Robertia"
"Western Cape","ZA",1223,"Robertia",264.28,259.51,-62.7516,-22.8072,1,"Robertia"
"Western Cape","ZA",1217,"Diictodon",264.28,259.51,-62.7516,-22.8072,1,"Diictodon"
"Western Cape","ZA",1216,"Emydops",264.28,259.51,-62.7516,-22.8072,1,"Emydops"
"Western Cape","ZA",1210,"Robertia",264.28,259.51,-62.7516,-22.8072,1,"Robertia"
"Eastern Cape","ZA",1209,"Diictodon",259.51,254.14,-63.1595,-14.725,1,"Diictodon"
"Western Cape","ZA",1208,"Diictodontoides",259.51,254.14,-60.8508,-19.3342,1,"Diictodontoides"
"Ruvuma","TZ",1207,"Katumbia",259.51,254.14,-47.7841,17.7482,1,"Katumbia"
"Ruvuma","TZ",1206,"Katumbia",259.51,254.14,-47.7841,17.7482,1,"Katumbia"
"Ruvuma","TZ",1205,"Katumbia",259.51,254.14,-47.7841,17.7482,1,"Katumbia"
"Ruvuma","TZ",1198,"Kawingasaurus",259.51,254.14,-47.7841,17.7482,1,"Kawingasaurus"
